Day of Week Name,Year,Hour,Page Views,Sessions
Monday,2017,13,5153,4309
Sunday,2017,16,5137,4352
Monday,2017,14,5120,4287
Friday,2017,17,5075,4378
Saturday,2017,10,5052,4192
Saturday,2017,15,5045,4159
Friday,2018,09,5039,3986
Friday,2017,22,5009,4198
Saturday,2017,21,5003,4136
Wednesday,2018,23,4980,3973
Saturday,2017,18,4960,4071
Wednesday,2018,09,4944,4035
Thursday,2016,19,4862,2766
Tuesday,2017,23,4793,3701
Saturday,2018,22,4790,3760
Thursday,2018,23,4754,3691
Saturday,2017,17,4715,3940
Monday,2018,09,4699,3777
Sunday,2017,10,4600,3917
Thursday,2017,09,4597,3606
Monday,2017,09,4532,3551
Saturday,2017,22,4519,3741
Tuesday,2016,19,4506,2966
Sunday,2018,23,4489,3554
Wednesday,2017,23,4463,3633
Monday,2016,11,4437,2286
Saturday,2018,23,4437,3306
Friday,2017,09,4430,3780
Tuesday,2018,23,4421,3525
Monday,2017,23,4388,3587
Wednesday,2017,09,4355,3606
Monday,2016,12,4326,2420
Tuesday,2017,09,4313,3688
Monday,2018,23,4290,3525
Sunday,2017,23,4283,3502
Saturday,2018,08,4274,3502
Friday,2016,18,4251,2233
Thursday,2017,23,4238,3544
Thursday,2016,15,4218,2099
Sunday,2018,09,4198,3348
Saturday,2017,09,4153,3446
Friday,2018,23,4038,3325
Tuesday,2018,08,4038,3237
Friday,2016,21,4032,2315
Monday,2016,16,4005,2286
Friday,2016,20,3989,2380
Friday,2017,23,3986,3302
Saturday,2016,15,3878,1916
Wednesday,2016,17,3878,2302
Thursday,2016,14,3868,2129
Thursday,2016,20,3855,2704
Thursday,2016,16,3842,2276
Thursday,2018,08,3832,3103
Wednesday,2018,08,3816,3123
Monday,2016,15,3812,2308
Wednesday,2017,08,3760,3074
Tuesday,2016,18,3750,2413
Saturday,2017,23,3737,3090
Monday,2018,08,3734,3116
Tuesday,2016,12,3718,2475
Thursday,2016,12,3714,2407
Tuesday,2016,20,3705,2662
Wednesday,2016,19,3695,2783
Wednesday,2016,20,3675,2714
Friday,2018,08,3669,2953
Thursday,2017,08,3662,2969
Sunday,2017,09,3659,3165
Sunday,2018,08,3623,2943
Tuesday,2016,15,3597,2047
Sunday,2016,17,3580,2299
Friday,2017,08,3567,2907
Friday,2016,11,3541,2426
Monday,2016,20,3531,2828
Wednesday,2016,18,3531,2230
Sunday,2016,20,3453,2596
Friday,2016,22,3443,2158
Monday,2016,19,3436,2593
Friday,2016,13,3423,2102
Monday,2016,21,3423,2622
Thursday,2016,17,3391,2469
Monday,2016,18,3351,2292
Thursday,2016,21,3329,2554
Tuesday,2016,16,3312,2286
Wednesday,2016,15,3306,2214
Sunday,2016,21,3296,2413
Monday,2016,22,3283,2449
Wednesday,2016,21,3276,2462
Monday,2017,08,3263,2645
Friday,2016,19,3253,2371
Thursday,2016,18,3247,2344
Saturday,2017,08,3240,2698
Sunday,2016,19,3234,2518
Tuesday,2016,21,3211,2501
Friday,2016,12,3201,2393
Friday,2016,17,3162,2263
Sunday,2016,18,3162,2456
Sunday,2017,08,3162,2691
Friday,2018,07,3159,2426
Tuesday,2016,22,3159,2282
Wednesday,2016,11,3126,2397
Tuesday,2017,08,3119,2783
Wednesday,2016,12,3087,2286
Wednesday,2016,22,3083,2393
Tuesday,2016,14,3070,2145
Sunday,2016,16,3041,2308
Wednesday,2016,16,3038,2331
Thursday,2016,09,3031,1707
Thursday,2016,22,3021,2318
Thursday,2016,11,3018,2331
Monday,2016,17,3005,2178
Tuesday,2016,10,2998,1988
Saturday,2018,07,2975,2462
Sunday,2016,22,2975,2168
Tuesday,2018,07,2972,2390
Wednesday,2018,07,2962,2250
Saturday,2016,20,2881,2187
Sunday,2016,12,2874,2240
Saturday,2016,13,2868,2024
Tuesday,2016,17,2864,2263
Saturday,2016,19,2841,2174
Friday,2016,15,2838,2181
Saturday,2016,18,2838,2014
Thursday,2018,07,2835,2240
Saturday,2016,11,2832,2289
Wednesday,2017,07,2828,2371
Thursday,2018,00,2815,2272
Friday,2016,16,2812,2115
Monday,2018,00,2812,2197
Thursday,2017,00,2809,2305
Friday,2016,10,2769,2122
Saturday,2016,16,2724,2119
Saturday,2016,14,2717,1975
Sunday,2016,15,2717,2145
Wednesday,2017,00,2717,2246
Saturday,2016,12,2711,2246
Friday,2018,00,2707,2325
Monday,2016,14,2707,2034
Saturday,2018,00,2694,2063
Sunday,2016,14,2688,2050
Monday,2016,13,2681,1985
Tuesday,2016,13,2678,2004
Wednesday,2016,14,2665,1991
Sunday,2016,13,2662,2093
Saturday,2016,21,2655,2011
Wednesday,2016,13,2655,1916
Wednesday,2016,10,2648,1887
Thursday,2016,10,2635,2047
Monday,2018,07,2622,2142
Wednesday,2018,00,2616,2145
Friday,2017,00,2590,2132
Sunday,2016,11,2577,2073
Sunday,2018,07,2573,1923
Thursday,2016,13,2554,2060
Tuesday,2017,00,2534,2158
Monday,2016,10,2527,1942
Friday,2016,23,2514,1625
Friday,2017,07,2498,2155
Wednesday,2016,23,2495,1854
Thursday,2016,23,2462,1635
Tuesday,2018,00,2459,2047
Friday,2016,14,2452,1919
Thursday,2017,07,2439,2096
Tuesday,2017,07,2416,2122
Monday,2017,07,2387,2037
Sunday,2018,00,2384,1906
Sunday,2017,00,2367,1945
Saturday,2016,17,2344,1913
Monday,2016,23,2289,1632
Saturday,2017,07,2269,1834
Saturday,2017,00,2243,1949
Sunday,2017,07,2233,1854
Monday,2017,00,2227,1942
Sunday,2016,10,2217,1726
Tuesday,2016,23,2210,1651
Sunday,2016,23,2201,1664
Saturday,2016,10,2194,1733
Friday,2016,09,2148,1677
Saturday,2016,23,2063,1501
Monday,2016,09,2011,1661
Wednesday,2018,06,2001,1622
Saturday,2016,22,1995,1547
Tuesday,2018,06,1978,1547
Saturday,2016,09,1936,1501
Friday,2018,06,1883,1501
Saturday,2018,06,1874,1403
Monday,2018,06,1841,1530
Thursday,2018,06,1834,1406
Wednesday,2016,09,1828,1537
Tuesday,2016,09,1759,1403
Wednesday,2017,06,1743,1471
Sunday,2016,09,1690,1341
Saturday,2016,08,1671,1223
Tuesday,2017,06,1654,1344
Friday,2017,06,1628,1341
Thursday,2016,08,1596,1190
Thursday,2017,06,1583,1357
Tuesday,2016,08,1520,1141
Tuesday,2018,01,1511,1213
Thursday,2018,01,1478,1187
Monday,2018,01,1468,1171
Sunday,2018,01,1462,1076
Tuesday,2017,01,1445,1200
Friday,2016,08,1426,1187
Saturday,2017,06,1419,1115
Wednesday,2018,01,1403,1092
Wednesday,2016,00,1393,1118
Friday,2018,01,1390,1135
Saturday,2016,00,1380,1082
Wednesday,2016,08,1373,1138
Sunday,2018,06,1344,1086
Thursday,2017,01,1334,1069
Sunday,2016,08,1321,1102
Wednesday,2017,01,1321,1099
Thursday,2016,00,1318,971
Monday,2016,08,1311,1125
Sunday,2017,01,1311,1105
Saturday,2018,01,1288,1040
Saturday,2017,01,1285,1066
Monday,2017,06,1282,1069
Tuesday,2016,00,1282,994
Monday,2017,01,1272,1050
Friday,2016,07,1236,981
Friday,2016,00,1233,1004
Friday,2017,01,1226,1069
Monday,2016,00,1203,1010
Sunday,2017,06,1164,1007
Thursday,2016,07,1161,889
Tuesday,2016,07,1144,906
Sunday,2016,00,1118,909
Saturday,2016,07,1095,912
Sunday,2016,07,1036,785
Thursday,2018,05,1014,788
Wednesday,2016,07,1001,847
Tuesday,2018,05,987,696
Monday,2016,07,981,791
Friday,2018,05,942,723
Wednesday,2017,05,938,755
Friday,2018,02,912,719
Tuesday,2016,06,883,680
Monday,2018,02,863,667
Saturday,2017,02,853,611
Sunday,2018,02,853,664
Thursday,2016,06,853,608
Saturday,2018,02,847,700
Thursday,2017,05,847,719
Saturday,2018,05,831,670
Wednesday,2018,05,827,660
Friday,2016,06,824,638
Friday,2017,05,814,670
Monday,2018,05,804,664
Friday,2015,16,778,177
Saturday,2017,05,778,608
Saturday,2017,03,759,304
Thursday,2018,02,736,634
Wednesday,2017,02,736,582
Wednesday,2018,02,736,582
Monday,2016,01,732,540
Tuesday,2016,01,723,540
Friday,2017,02,716,589
Saturday,2016,06,713,553
Monday,2016,06,683,579
Tuesday,2017,05,680,595
Sunday,2017,02,677,566
Friday,2016,01,670,484
Thursday,2016,01,667,490
Monday,2017,02,664,572
Monday,2017,05,664,585
Tuesday,2018,02,664,526
Wednesday,2016,01,651,556
Tuesday,2017,02,644,553
Sunday,2016,01,634,517
Saturday,2016,01,631,451
Wednesday,2016,06,631,487
Thursday,2017,02,602,520
Friday,2015,15,592,180
Sunday,2016,06,582,412
Thursday,2018,03,559,445
Sunday,2018,05,556,464
Tuesday,2018,04,510,425
Sunday,2017,05,494,471
Friday,2018,03,487,383
Wednesday,2017,04,484,314
Friday,2016,02,481,334
Tuesday,2015,12,471,193
Wednesday,2018,03,468,396
Monday,2018,03,464,353
Friday,2018,04,461,402
Monday,2015,23,461,147
Wednesday,2015,21,461,226
Sunday,2018,03,458,350
Tuesday,2015,21,458,262
Monday,2017,04,454,337
Tuesday,2017,03,454,389
Saturday,2018,03,451,366
Wednesday,2017,03,451,363
Tuesday,2017,04,448,347
Saturday,2017,04,445,327
Monday,2018,04,438,360
Monday,2015,18,432,232
Friday,2017,03,428,363
Monday,2017,03,428,360
Tuesday,2018,03,428,353
Monday,2015,20,419,245
Thursday,2016,05,415,340
Thursday,2018,04,415,330
Tuesday,2015,16,412,186
Sunday,2017,04,409,311
Tuesday,2015,09,405,141
Thursday,2017,04,402,307
Friday,2016,05,396,317
Saturday,2015,09,396,78
Saturday,2016,02,392,275
Friday,2015,18,389,193
Thursday,2017,03,389,330
Saturday,2018,04,386,304
Thursday,2015,13,386,226
Sunday,2015,09,379,111
Tuesday,2015,11,379,203
Monday,2015,16,376,186
Sunday,2015,19,376,265
Sunday,2016,02,376,294
Wednesday,2016,02,376,284
Wednesday,2018,04,376,314
Saturday,2016,05,373,284
Monday,2015,10,369,160
Sunday,2017,03,369,304
Monday,2015,19,366,235
Sunday,2018,04,366,327
Thursday,2016,02,360,311
Wednesday,2015,12,360,239
Wednesday,2016,05,360,298
Friday,2017,04,356,298
Friday,2015,11,353,203
Tuesday,2015,19,353,252
Monday,2016,02,350,294
Tuesday,2015,20,350,255
Saturday,2015,19,347,163
Monday,2015,17,337,222
Saturday,2015,12,337,193
Tuesday,2015,22,337,190
Thursday,2015,11,334,173
Wednesday,2015,20,334,235
Tuesday,2015,15,327,190
Tuesday,2016,05,327,262
Tuesday,2015,00,324,92
Tuesday,2015,10,320,196
Wednesday,2015,11,320,177
Tuesday,2016,02,314,275
Thursday,2015,12,311,183
Tuesday,2015,13,311,173
Sunday,2015,20,307,213
Wednesday,2015,22,307,216
Monday,2015,14,301,190
Monday,2016,05,301,248
Wednesday,2015,19,301,235
Monday,2015,21,298,203
Thursday,2015,21,294,163
Tuesday,2015,17,294,193
Wednesday,2015,16,294,229
Saturday,2015,11,291,180
Sunday,2015,12,291,213
Saturday,2015,18,288,170
Sunday,2015,11,288,157
Sunday,2015,17,288,190
Thursday,2015,20,288,216
Monday,2015,12,284,190
Saturday,2015,15,281,154
Saturday,2015,20,278,160
Tuesday,2015,18,278,190
Sunday,2015,08,271,98
Sunday,2015,13,268,193
Friday,2015,19,262,193
Saturday,2015,21,262,196
Saturday,2015,10,258,134
Wednesday,2015,10,258,128
Thursday,2015,10,252,173
Wednesday,2015,13,252,150
Wednesday,2015,15,252,170
Friday,2015,10,248,137
Sunday,2015,21,248,167
Thursday,2015,14,248,177
Thursday,2016,04,248,177
Thursday,2015,18,245,186
Thursday,2015,19,245,167
Monday,2015,11,242,173
Sunday,2015,18,239,183
Tuesday,2016,03,239,167
Sunday,2015,14,235,170
Thursday,2015,16,235,163
Wednesday,2015,18,235,196
Thursday,2015,17,232,160
Wednesday,2015,14,229,160
Friday,2015,20,226,150
Monday,2015,15,226,193
Sunday,2015,10,226,124
Thursday,2015,15,226,180
Friday,2015,17,222,170
Saturday,2016,03,219,190
Saturday,2016,04,219,154
Sunday,2016,05,219,186
Thursday,2015,22,219,173
Tuesday,2016,04,219,180
Wednesday,2015,17,219,170
Wednesday,2016,04,219,190
Saturday,2015,14,216,150
Sunday,2015,15,216,196
Sunday,2015,16,216,147
Sunday,2015,22,216,157
Tuesday,2015,14,216,167
Friday,2015,21,213,150
Monday,2015,13,213,177
Sunday,2016,03,213,173
